Name,1916,1917,1918,1919,1920,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,First Year,Last Year,Tenure,Consecutive,Positions
"LANGE, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Verkst, Direktör",Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,Verkst. Direktör,Verkst. Direktör,,Verkst. Direktör,Direktör,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1958,11,False,"Verkst. Direktör | Direktör | Verkst, Direktör"
"TIGERSCHIÖLD, DAG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finansdirektör i Investment AB Promotion,,Finansdirektör i Investment AB Promotion,,,delägare,,,,,,1984,1994,11,True,Finansdirektör i Investment AB Promotion | delägare
JACOBSSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1962,10,False,
"ANDERSEN, Kjell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1972,9,False,
"Bengtsson, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,förordnad av Regeringen,förordnad av regeringen,förordnad av Regeringen,förordnad av Regeringen,förordnad av Regeringen,Ombudsman,Ombudsman,,Ombudsman,,,,,,,,,1978,1986,9,True,förordnad av Regeringen | förordnad av regeringen | Ombudsman
"Boman, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1925,9,False,
"Janson, S. G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1925,9,False,
"Thorburn, Bertil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,1970,1978,9,True,ordförande
"LANDQVIST, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,ordförande,"Docent, ordförande",ordförande,ordförande,ordförande,ordförande,ordförande,,,,1984,1991,8,True,"ordförande | Docent, ordförande"
"WISSEN, BJÖRN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD i Invik&Co AB,,,,,,Ordförande,Ordförande,Ordförande,1986,1994,8,False,Ordförande | VD i Invik&Co AB
"Ragnar, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD,,,,,,1988,1994,7,True,VD
"Carlsson, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVD Rederi AB Transatlantic,,,,,,,,,,,,,,1977,1982,6,True,VVD Rederi AB Transatlantic
"Essunger, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVD i AB SKF,,UVD i AB SKF,,,,,,,,,1982,1987,6,True,VVD i AB SKF | UVD i AB SKF
"Hedberg, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finansdirektör,,,,,,1987,1993,6,False,finansdirektör
"Hulterström, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,förordnad av Kungl. Maj:t,,,,,förordnad av regeringen,,,,,,,,,,,,,,,,,,1972,1977,6,True,förordnad av regeringen | förordnad av Kungl. Maj:t
"Od
, Kjell-Åke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekonomidirektör,,,,,,1987,1992,6,True,ekonomidirektör
"RÖHSS, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,Verkst. Direktör,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931,1947,6,False,Verkst. Direktör
"Thorén, Rune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,1993,6,False,
"Blennow, Ingemar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1974,5,True,
"Karlson, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v. ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,,,,,,,,,,,,,,,,,,1972,1976,5,True,v. ordförande | vice ordförande
"Kruse, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1994,5,False,
"Laurin, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1976,5,True,
"MIKULANDRA, YVONNE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,Arbetstagarrepresentant,,,,,,,,,1984,1993,5,False,Arbetstagarrepresentant | arbetstagarrepresentant
"Salén, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ordf. Salenia AB,,tjf ordförande,Ordförande i Salenia AB,,,,,,,,,,,1979,1984,5,False,Ordf. Salenia AB | Ordförande i Salenia AB | tjf ordförande
"Thorstensson, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,Verkställande direktör,,,,,,,,,1983,1987,5,True,Verkställande direktör
"Eneroth, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,,,,,,,,,,,,,,,,,,,,,,,1971,1974,4,True,vald av bolagets försäkringstagare
"Friberger, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,suppleant,suppleant,suppleant,,,,,,,,,,,,,,,,,,,,,,,,1968,1971,4,True,suppleant
"HENRIKSSON, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,1993,4,True,
"JACOBSON, K. E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,1960,4,False,
"Kvarnbäck, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVD,,,,,,1988,1991,4,True,VVD
"Ramfors, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"VVD S-E-banken, Malmögruppen",,,VD 1 S-E-Banken,,,,,,,,,,,1981,1984,4,True,"VD 1 S-E-Banken | VVD S-E-banken, Malmögruppen"
"Samuelsson, Tore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1994,4,True,
"Wengefelt, Carl-Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,arbetstagarrepresentant,arbetstagarrepresentant,arbetstagarrepresentant,,,,,,,,,,,,,,,,1976,1979,4,True,arbetstagarrepresentant
"Wrangel, Otto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVD,,,,,,1987,1990,4,True,VVD
"Borssén, Klas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,arbetstagarrepresentant,arbetstagarrepresentant,,,,,,,,,,,1981,1984,3,False,arbetstagarrepresentant
"Holm, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1994,3,True,
"Holmberg, Mikael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1994,3,True,
"Lindahl, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vald av bolagets försäkringstagare,"vald av bolagets
f
Sal Ramfors
f
Sal Ramfors",,,,,,,,,,,,,1981,1983,3,True,"vald av bolagets försäkringstagare | vald av bolagets
f
Sal Ramfors
f
Sal Ramfors"
"Sjöström, Stefan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,arbetstagarrepresentant,,arbetstagarrepresentant,,,,,,,,,,,,1980,1983,3,False,arbetstagarrepresentant
"Wallin, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,arbetstagarrepresentant,arbetstagarrepresentant,,,,,,,,,,,,,,,1978,1980,3,True,arbetstagarrepresentant
BROSTRÖM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,1962,2,False,
"CARLSSON, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1929,2,False,
"Forsberg, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,arbetstagarrepresentant,,,,,,,,,,,,,,,,,,1976,1977,2,True,arbetstagarrepresentant
"Frostell, Sven-Thorsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,1978,2,True,
"JONSSON J:OR, AXEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1928,2,True,
"LUNDBERG, MARTIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD i Bilspedition AB,,,,,,,,,1985,1986,2,True,VD i Bilspedition AB
"OLSSON, PER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD i Olle Olsson Bilimport AB,,,,,,,,,1985,1986,2,True,VD i Olle Olsson Bilimport AB
"Penser, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1994,2,True,
"SANDSTRÖM, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1942,2,False,
"Wessberg, Erland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vald av bolagets försäkringstagare,vald av bolagets försäkringstagare,,,,,,,,,,,,,,,,,1977,1978,2,True,vald av bolagets försäkringstagare
"Åkesson, Ingvar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,,,1991,1992,2,True,Verkställande direktör
""", Åkesson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1,True,
"BALBOM, Niklas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1962,1,True,Verkst. Direktör
"Borss
Borss
Borss Bengtsson, Klas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,,,,,,,,,,,,1982,1982,1,True,arbetstagarrepresentant
"Carlsson, Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,1994,1994,1,True,Verkställande direktör
"Clarkson, Holger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1,True,
Fallenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,,,,,,,,,,,,,,,,,,,,,,,,,1969,1969,1,True,suppleant
"Fallenius, C.-A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suppleant,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,1968,1,True,suppleant
"HOGLUND, INGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbetstagarrepresentant,,,,,,,,,1986,1986,1,True,Arbetstagarrepresentant
"HÖK, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1920,1,True,
"JACOBSSON, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,1952,1,True,
"JONSSON, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,1937,1,True,
"Johansson, Ingvar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,1987,1,True,
"Jolhed, M
årten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1989,1,True,
"KABER, JAAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1985,1,True,
LANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,1952,1,True,Verkst. Direktör
"LINDERSEN, Kjell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,1966,1,True,
"LUNDGREN, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1955,1,True,Verkst. Direktör
"OLBURS, VIDAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1927,1,True,
"RAMFORS, BO C E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1985,1,True,
RÖHSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1930,1,True,
"RÖJEMO, RENÉE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1985,1,True,
SANDFORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD i S-E-Banken,,,,,,,,,1986,1986,1,True,VD i S-E-Banken
SYDOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice ordförande i Broströms Rederi AB,,,,,,,,,1986,1986,1,True,Vice ordförande i Broströms Rederi AB
"Sal
Sal
Sal Ramfors, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1982,1,True,
"Sj
Sj
Sj Borss
Sj
Sj Borss
Sj Borss Bengtsson, Stefan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,,,,,,,,,,,,1982,1982,1,True,arbetstagarrepresentant
"Sundblad, G
Sal
Sal Ramfors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1982,1,True,
"Wikland, Petter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1992,1,True,
"Wiss
én, Björn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,styrelseledamot,,,,,,1989,1989,1,True,styrelseledamot
