Name,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2005,2008,2009,2010,2011,First Year,Last Year,Tenure,Consecutive,Positions
"Mattson, John",,,,,ordförande,ordförande,ordförande,,,,Ordförande,,,,,,,,,,,,,,,,,,,,,,,,,1974,1984,11,True,Ordförande | ordförande
"Persson, Erling",verkst direktör,verkst direktör,verkst direktör,verkst direktör,verkst direktör,verkst direktör,verkst direktör,,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,1974,1984,11,True,Direktör | verkst direktör
"Brusberg, Birgitta",,,,,,,,,,,,,,,,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,Arbetstagarledamot,Employee representative,,Employee representative,,,,,,,1992,2002,10,False,Employee representative | Arbetstagarledamot
"Kristfeldt, Jens",suppleant,suppleant,suppleant,suppleant,suppleant,,,,,suppleant,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1983,10,True,suppleant
"Kvart, Sussi",,,,,,,,,,,,,,,,,,,,,,,,,,,Legal council,,"Bachelor of Laws, Sussi Kvart AB",,,Board member,Board member,Board member,Board member,1999,2011,10,False,"Legal council | Bachelor of Laws, Sussi Kvart AB | Board member"
"Stjernquist, Inge",,,,,,,,,,suppleant,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1983,10,True,suppleant
"Norin-Broman, Marianne",,,,,,,,,,,,,,,,,,,,,,Arbetstagarledamot,Arbetstagarledamot,"Arbetstagarledamot, Suppleant",,Arbetstagarsuppleant,Deputy employee representative,,Deputy employee representative,Employee representative,employee representative,Employee Representative,,,,1995,2008,9,False,"Employee representative | Deputy employee representative | Arbetstagarsuppleant | Employee Representative | employee representative | Arbetstagarledamot, Suppleant | Arbetstagarledamot"
"Schörling, Melker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,,Board member,Board member,1999,2011,9,False,Board member
"Hertzen, Krister",,,,,,,,,,,,,,VD Försäkringsbolaget SPP,VD Försäkringsbolaget SPP,VD,VD Försäkringsbolaget SPP,VD Försäkringsbolaget SPP,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,1987,1994,8,True,Direktör | VD Försäkringsbolaget SPP | VD
"Hofer, Werner",,,,,,,,,,,,,,,,,,,,,,,Advokat,Advokat,,,,,"Lawyer, Hamburg",,,,,,,1996,2005,8,False,"Lawyer, Hamburg | Advokat"
"Persson, Jörgen",,,,,suppleant,suppleant,suppleant,,suppelant,suppelant,,,,Arbetstagarledamot,,Arbetstagarledamot,Arbetstagarledamot,,,,,,,,,,,,,,,,,,,1978,1990,8,False,suppelant | suppleant | Arbetstagarledamot
"BINGEBO, BRITT-MARIE",,,,,,,,,,,,,,,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,,,,,,,,,,,,1991,1996,6,True,Arbetstagarledamot
"Eriksen, Rolf",,,,,,,,,,,,,,,,,,,,,,,,,,,Chief Executive Officer and Managing Director,Managing Director,Chief Executive Officer and Managing Director of H&M,Managing Director,deputy,,,,,2000,2005,5,False,deputy | Managing Director | Chief Executive Officer and Managing Director | Chief Executive Officer and Managing Director of H&M
"Hagrup, Knut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,1983,5,True,
"Ramberg, Agneta",,,,,,,,,,,,,,,,,,,,,,,,"Arbetstagarledamot, Suppleant",,Arbetstagarsuppleant,,,Deputy employee representative,Deputy employee,,,,,employee rep.,1997,2011,5,False,"Deputy employee | Deputy employee representative | Arbetstagarsuppleant | Arbetstagarledamot, Suppleant | employee rep."
"Carlsson, Per",ordförande,ordförande,ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1977,4,True,ordförande
"Chrantz, Rosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,1980,4,True,
"Knutson, Lottie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,Board member,Board member,Board member,2008,2011,4,True,Board member
"Livfors, Mia Brunell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,Board member,Board member,Board member,2008,2011,4,True,Board member
"Vilumsons, Anita",,,,,,,,,,,,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,,,,,,,,,,,,,,,,,1988,1991,4,True,Arbetstagarledamot
"Welinder, Margareta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,employee rep.,Board member,employee rep.,2008,2011,4,True,employee rep. | Board member
"Broman, Marianne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,employee rep.,Board member,employee rep.,2009,2011,3,True,employee rep. | Board member
"Johansson, Gunilla",,,,,,,,,,,,,,,,,,,Arbetstagarledamot,Arbetstagarledamot,Arbetstagarledamot,,,,,,,,,,,,,,,1992,1994,3,True,Arbetstagarledamot
"Lundius, Marianne",,,,,,,,,,,,,,,,,,,,,,Advokat,Advokat,Advokat,,,,,,,,,,,,1995,1997,3,True,Advokat
"Persson, Karl-Johan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,,Managing Director,,2008,2010,3,True,Managing Director | Board member
"Bergdahl, Eivor",,,,,,,,,suppleant,suppleant,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1983,2,True,suppleant
"Dahlvig, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,Board member,2010,2011,2,True,Board member
"Sievert, Christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board member,Board member,2010,2011,2,True,Board member
"Sundberg, Ove",,,,,,,,,,,,VD Fermenta,Direktör,,,,,,,,,,,,,,,,,,,,,,,1985,1986,2,True,Direktör | VD Fermenta
"Björstedt, Marie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deputy employee rep.,2011,2011,1,True,deputy employee rep.
"Jäderberg, Tina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deputy employee rep.,2011,2011,1,True,deputy employee rep.
"LÄTT, BEATRICE",,,,,,,,,,,,,,,,,,Arbetstagarledamot,,,,,,,,,,,,,,,,,,1991,1991,1,True,Arbetstagarledamot
"Månsson, Fabian",,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,,,,,,,1999,1999,1,True,Verkställande direktör
"Nilsson, Eva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy employee,,,,,,2003,2003,1,True,Deputy employee
"Olsson, Bertil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1983,1,True,
"Sch
rling, Melker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,2002,1,True,
