Name,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1985,1986,1987,1988,1989,First Year,Last Year,Tenure,Consecutive,Positions
"Petrén, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Reuterskiöld, Clas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"President, CEO",,,,1986,1986,1,True,"President, CEO"
"Romanus, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
"Ruth, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor-in-chief,,,,1986,1986,1,True,Editor-in-chief
"Strömstedt, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor-in-chief,,,,1986,1986,1,True,Editor-in-chief
"Svenson, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Tingmalm, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VD,,,1987,1987,1,True,VD
"Wallander, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chairman of the Board,,,,1986,1986,1,True,Chairman of the Board
"Åkerman, Johan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Östlund, Bennet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huvudskyddsombud,,,,,1985,1985,1,True,Huvudskyddsombud
