Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,First Year,Last Year,Tenure,Consecutive,Positions
"OVIN, Hans-Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,,,Suppleant,,,,,,,,,,,,,,,1977,1993,13,False,Suppleant | Direktör
"Ågrup, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,1983,1997,13,False,Director
"Forsberg, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. dir.,,Verkst. dir.,,Verkst. dir.,Verkst. dir.,Verkst. dir.,Verkst. dir.,Verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,1957,12,False,Verkst. dir. | verkst. dir.
"Westerberg, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1959,12,False,vice ordförande
"Pehrsson, Erik G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,1948,11,False,
"Haglund, Wilhelm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. dir.,verkst. dir.,verkst. dir.,verkst. dir.,verkst. dir.,verkst. dir.,"Bruksdisponent, verkst. dir.",verkst. dir.,verkst. dir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1966,10,True,"Bruksdisponent, verkst. dir. | verkst. dir."
"LINDBLOM, GÖRAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1969,10,True,Direktör
"Kvarfordh, Börje",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingenjör,Ingenjör,Ingenjör,,Ingenjör,,,,,,,,,,,,,,,,,1976,1984,9,True,Ingenjör
"Malmros, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1993,9,False,
"Boström, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,1988,1997,8,False,Director
"Honkamäki, Eino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,Herr,Herr,,,,Suppleant,,,Director,Deputy Members,,,,,,,,,,,1974,1993,8,False,Herr | Suppleanter | Deputy Members | Director | Suppleant
"Håkansson, Lars-Ove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,1989,1996,8,True,Director
"Lindstedt, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,1989,1997,8,False,Director
"GULDBERG, HARRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President,,,President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,1969,7,True,President
"Ollén, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. direktör,Verkställande direktör,Verkställande direktör,verkställande direktör,,,Director,Deputy Members,,,,,,,,,,,1979,1987,7,False,verkst. direktör | verkställande direktör | Verkställande direktör | Director | Deputy Members
"Stenbeck, Jan H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bankdirektör, vice ordförande","Direktör, vice ordförande",Direktör,vice ordförande,Direktör,vice ordförande,vice ordförande,,,,,,,,,,,,,,,1976,1982,7,True,"Direktör | Direktör, vice ordförande | Bankdirektör, vice ordförande | vice ordförande"
"Klingspor, Carl-Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,Greve,Greve,,,,,,,,,,,,,,,,,,,1974,1982,6,False,Suppleanter | Greve
"Sebardt, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,1956,6,True,
"Svensson, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,,,,,,,,,,,,,,,,,1978,1983,6,True,Herr
"CLASON, EDWARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kommendör,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1969,5,False,Kommendör
"EDSTRÖM, SVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,Direktör,Direktör,,,,,,,,,,,,,,,,,,,1968,1978,5,False,Direktör | Suppleanter
"Hjorth, Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1915,5,True,
"Löwhagen, Birger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1988,5,False,
"Olson, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,1920,5,True,
"Sahlin, Mauritz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,1993,1997,5,True,Director
"Stake, Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,Herr,Herr,,,,,,,,,,,,,,,,,,,,1973,1977,5,True,Herr
"Sundén, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direktör, ordförande","Direktör, ordförande",Direktör,,Direktör,,,,,,,,,,,,,,,,,1976,1980,5,True,"Direktör, ordförande | Direktör"
"EKMAN, GEORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tandläkare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959,1962,4,True,Tandläkare
"ERICSSON, GUNNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1968,4,False,Direktör
"Hedström, Clas Åke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President,President,President,,1994,1997,4,True,President
"Alm, Oskar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,Verkmästare,Verkmästare,,,,,,,,,,,,,,,,,,,1974,1978,3,False,Verkmästare | Suppleanter
"Hedborg, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kammarrättspresident,Kammarrättspresident,,,,Suppleant,,,,,,,,,,,,,,,1977,1982,3,False,Suppleant | Kammarrättspresident
"Isaksson, Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,,,,,,,,,,,,,,,1982,1985,3,False,Suppleant
"Karlsson, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1987,3,False,
"Magnuson, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946,1948,3,True,
"Andersson, Rune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1996,2,True,
"ERIKSSON, ERIK W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1959,2,True,Direktör
Forsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkst. dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1952,2,False,Verkst. dir
"LUNDEBERG, GERARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1962,2,True,
"Stenbeck-Silfverstolpe, Elisabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,,Civilekonom,,,,,,,,,,,,,,,,,,,1974,1978,2,False,Civilekonom | Suppleanter
"Åberg, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingenjör,,,,,,,,,,,,,,,,,,,,,,,,1973,1974,2,True,Ingenjör
"Ahlström, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,,,,,,,,,,,,,,,1982,1982,1,True,Suppleant
"Björkegren, Carl-Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleant,,,,,,,,,,,,,,,1982,1982,1,True,Suppleant
"Broberg, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"ENESTRÖM, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,1961,1,True,
"Ehrnrooth, Georg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"Franklind, Per-Åke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"GÖRANSSON, KARL FREDRIK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1958,1,True,ordförande
"Göransson, KF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1943,1,True,
"Hafström, Gerhard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,,,,,,,,,,,,,,,,,,,,,1974,1974,1,True,Suppleanter
"Henrikson, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkst. direktör,,,,,,,,,,,,,,,,,,,,,,,1974,1974,1,True,verkst. direktör
"Hising, Lars Ivar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"Koraen, Axel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1929,1,True,
"MAHLÉN, OLOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,1966,1,True,
"Nordström, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,1951,1,True,
"Nyström, Stig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Members,,,,,,,,,,,1987,1987,1,True,Deputy Members
Pehrsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,1947,1,True,
"Reuterskiöld, Clas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"Rydin, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suppleanter,,,,,,,,,,,,,,,,,,,,,,,1974,1974,1,True,Suppleanter
"Sebardt, Wilh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1929,1,True,
"Silfverstolpe, Elisabeth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civilekonom,,,,,,,,,,,,,,,,,,,,1977,1977,1,True,Civilekonom
Sillén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,1951,1,True,
"Sjödén, Anders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1,True,
"Svärdström, Thore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,1988,1,True,
"Yngström, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1929,1,True,
