Name,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1997,1999,2000,First Year,Last Year,Tenure,Consecutive,Positions
"Enström, Axel",,,,,,,,,,,,,,,Ordförande,,Ordförande,Ordförande,,,Ordförande,Ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1946,17,False,Ordförande
"Wallenberg, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chairman, Atlas Copco AB","Chairman, Atlas Copco AB","Chairman of the Board, Atlas Copco AB","Chairman of the Board, Atlas Copco AB","Chairman of the Board, Atlas Copco AB","Deputy chairman, Chairman of the Board, Atlas Copco AB.",Deputy Chairman,"Deputy Chairman, Chairman of the Board, Atlas Copco AB.",Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,Deputy Chairman,,,,,,,,1974,1991,17,False,"Deputy chairman, Chairman of the Board, Atlas Copco AB. | Deputy Chairman | Chairman of the Board, Atlas Copco AB | Deputy Chairman, Chairman of the Board, Atlas Copco AB. | Chairman, Atlas Copco AB"
"SCHARP, ANDERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Managing Director,Managing Director,Managing Director,President,President,President,,President and CEO,President and CEO,President and CEO,President and CEO,Chairman of the Board and CEO,Chairman of the Board and CEO,Chairman of the Board and CEO,Chairman of the Board,Chairman of the Board,Chairman of the Board,,,1980,1997,16,False,Chairman of the Board | Deputy Managing Director | Chairman of the Board and CEO | President and CEO | Managing Director | President
"Wernher, Harold A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bt., G.C.V.O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1961,15,False,"Bt., G.C.V.O."
"Engellau, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chairman, AB Volvo","Chairman, AB Volvo","Chairman of the Board, AB Volvo","Chairman of the Board, AB Volvo",,,,,,,,,,,,,,,,,,,,,,1965,1977,13,True,"Chairman of the Board, AB Volvo | Chairman, AB Volvo"
"DAHLBÄCK, CLAES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy member,,President of AB Investor,,,,"President, AB Investor",,,,"President, Investor AB",,,,,,1983,1995,12,False,"President, AB Investor | Deputy member | President, Investor AB | President of AB Investor"
"HOLGERSON, NILS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Executive Chairman, Beijerinvest AB","Executive chairman of the Board, Beijerinvest AB",Executive Chairman of the Board,"Managing Director, AB Pripps Bryggerier","Managing Director, AB Pripps Bryggerier",,,,,,,Board Member,,,,,,,,,,1978,1990,12,False,"Executive chairman of the Board, Beijerinvest AB | Board Member | Executive Chairman of the Board | Managing Director, AB Pripps Bryggerier | Executive Chairman, Beijerinvest AB"
"SÖDERBERG, RAGNAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice Chairman,,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,Chairman,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1973,12,True,Vice Chairman | Chairman
"Ekman, Elon",,,,,,,,,,,,,,,,,,,,,,,,,,,,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,Managing Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,1962,11,True,Managing Director
"Eriksson, Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Deputy Managing Director (Senior Executive Vice President),Senior Deputy Managing Director (Senior Executive Vice President),Senior Deputy Managing Director (Senior Executive Vice President),Senior Deputy Managing Director (Senior Executive Vice President),Senior Deputy Managing Director (Senior Executive Vice President),Deputy Managing Director,Deputy Managing Director,Gérant (France),Président Directeur Général (France),,,,,,,,,,,,,,,,,1974,1984,11,True,Gérant (France) | Deputy Managing Director | Président Directeur Général (France) | Senior Deputy Managing Director (Senior Executive Vice President)
"Hofving, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputies,,,Deputy,,Deputies,Deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1968,11,False,Deputies | Deputy
"KARLSSON, ROLF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Metalworker's Union, Strömstad*)","Local Chairman, Swedish Metal Workers' Union, Strömstad","Local Chairman, Swedish Metal Workers' Union, Strömstad","Local Chairman, Swedish Metal Workers' Union, Strömstad*","Local Chairman, Swedish Metal Workers' Union, Strömstad",,,Representative of LO,,,,Employee representative,,,,,,,,,,1978,1989,11,False,"Representative of LO | Local Chairman, Swedish Metal Workers' Union, Strömstad* | Employee representative | Local Chairman, Swedish Metalworker's Union, Strömstad*) | Local Chairman, Swedish Metal Workers' Union, Strömstad"
"MALMENSTAM-SKYTT, BIRGIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Association Secretary, Swedish Shareholders Association","Association Secretary, Swedish Shareholders' Association","Association Secretary, Swedish Shareholders' Association","Association Secretary, Swedish Shareholders' Association",,Deputy member,,Secretary general of the Swedish National Shareholders' Association,,,,"Secretary General, Swedish Shareholders' Association",,,,,,,,,,1978,1990,11,False,"Association Secretary, Swedish Shareholders Association | Deputy member | Association Secretary, Swedish Shareholders' Association | Secretary general of the Swedish National Shareholders' Association | Secretary General, Swedish Shareholders' Association"
"Wenner-Gren, A. L.",,,,,,,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1937,11,False,Ordförande
"Faulkner, H. G.",,,,,,,,,,Verkställande Direktör,Verkställande Direktör,Verkställande Direktör,Verkställande Direktör,Verkställande Direktör,Verkställande Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1939,10,True,Verkställande Direktör
"Wehtje, Walter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1966,10,True,
"Svensson, Ebbe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputies,,,Deputy,,Deputies,Deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1966,9,False,Deputies | Deputy
"SÖDERQVIST, HANS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Industrial Salaried Employees' Association, Huskvarna",,,Representative of SIF,,,,Employee representative,,Employee representames,,,,,,,,1982,1991,9,False,"Representative of SIF | Local Chairman, Swedish Industrial Salaried Employees' Association, Huskvarna | Employee representative | Employee representames"
"Andersson, Sune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Deputy Managing Director (Senior Executive Vice President),,"Local Chairman, Swedish Supervisory Employees' Association, Västervik","Local Chairman, Swedish Supervisory Employees Association Västervik",,,,,,,,,,,,,,,,,,,,Chairman,Chairman,1973,2000,8,False,"Local Chairman, Swedish Supervisory Employees' Association, Västervik | Local Chairman, Swedish Supervisory Employees Association Västervik | Chairman | Senior Deputy Managing Director (Senior Executive Vice President)"
"Lagerström, Karl-Gustav",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Industrial Employees' Association, Alingsås","Local Chairman, Swedish Industrial Salaried Employees' Association, Alingsås","Local Chairman, Swedish Industrial Salaried Employees' Association, Alingsås*)","Local Chairman, Swedish Industrial Salaried Employees Association, Alingsås","Local Chairman, Swedish Industrial Salaried Employees Association, Alingsås",,,,,,,,,,,,,,,,,,,1973,1980,8,True,"Local Chairman, Swedish Industrial Salaried Employees' Association, Alingsås*) | Local Chairman, Swedish Industrial Salaried Employees Association, Alingsås | Local Chairman, Swedish Industrial Salaried Employees' Association, Alingsås | Local Chairman, Swedish Industrial Employees' Association, Alingsås"
"ERIKSSON, RUNO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Supervisory Employees' Association, Motala","Local Chairman, Swedish Supervisory Employees' Association, Motal","Local Chairman, Swedish Supervisory Employees' Association, Motala","Local Chairman, Swedish Supervisory Employees' Association, Motala","Local Chairman, Swedish Supervisory Employees' Association, Motala*",,Deputy member,,,,,,,,,,,,,,,,1977,1984,7,False,"Local Chairman, Swedish Supervisory Employees' Association, Motala | Deputy member | Local Chairman, Swedish Supervisory Employees' Association, Motala* | Local Chairman, Swedish Supervisory Employees' Association, Motal"
"Grimborg, Arthur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Metalworkers' Union, Mariestad","Local Chairman, Swedish Metalworkers' Union, Mariestad","Local Chairman, Swedish Metalworkers' Union, Mariestad*)","Local Chairman, Swedish Metal Workers' Union, Mariestad",,,,,,,,,,,,,,,,,,,,1973,1979,7,True,"Local Chairman, Swedish Metalworkers' Union, Mariestad*) | Local Chairman, Swedish Metalworkers' Union, Mariestad | Local Chairman, Swedish Metal Workers' Union, Mariestad"
"Sahlin, G.",,,,,,,,,,vice Verkställande Direktör,vice Verkställande Direktör,vice Verkställande Direktör,"vice Verkställande, Direktör",vice Verkställande Direktör,vice Verkställande Direktör,,Verkställande Direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1941,7,False,"Verkställande Direktör | vice Verkställande Direktör | vice Verkställande, Direktör"
"Trygger, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1963,7,True,
"Arpi, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,1973,6,False,
"Aurell, Sten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1932,6,False,
"Hyllen, Kai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputies,,,Deputy,,Deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957,1962,5,False,Deputies | Deputy
"Johansson, Leif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President,President,President,President and CEO,President and CEO,,,,1991,1995,5,True,President and CEO | President
"Löwenhielm, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employee representative,,Group Head Credit,,,,,,1991,1995,5,True,Group Head Credit | Employee representative
"Mörk, Roland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy employee representative,,Employee representames,,,,,,,,1987,1995,5,False,Deputy employee representative | Employee representames
"Niklasson, Johnny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Metalworkers' Union, Motala","Local Chairman, Swedish Metalworkers Union, Motala",,,,,,,,,,,,,,,,,,,,,,1973,1977,5,True,"Local Chairman, Swedish Metalworkers Union, Motala | Local Chairman, Swedish Metalworkers' Union, Motala"
"Persson, Stefan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Member,,,1994,2000,5,False,Deputy Member
"Säll, Torsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy employee representative,,Deputy members,,,,Deputy members,,,,1987,1995,5,False,Deputy members | Deputy employee representative
"WENNBERG, HARRY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Managing Director,Managing Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1966,5,True,Managing Director
"Wernher, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1956,5,False,
"Wikander, Sten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of Fourth National Pension Insurance Fund,,,,Board Member,,,,,,,,,,1985,1990,5,False,Board Member | President of Fourth National Pension Insurance Fund
"Wollart, Nils",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputies,Deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1966,5,True,Deputies
"ANDERSSON, SVEN ÅKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employee representames,,,,,,,,1990,1995,4,False,Employee representames
"EDMAN, PER-OLOF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Metal Workers' Union, Ankarsrum","Local Chairman, Swedish Metal Workers' Union, Ankarsrum*",,Deputy member,,,,,,,,,,,,,,,,1980,1984,4,False,"Deputy member | Local Chairman, Swedish Metal Workers' Union, Ankarsrum | Local Chairman, Swedish Metal Workers' Union, Ankarsrum*"
"Kylberg, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1995,4,True,
"LARSSON, INGEMAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy members,,,,Deputy members,,,,1990,1999,4,False,Deputy members
LUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lord Luke of Pavenham,,,,"Chairman, Electrolux Ltd., Great Britain",,,,,,,,,,,,,,,,,,,,,,,,1968,1975,4,False,"Chairman, Electrolux Ltd., Great Britain | Lord Luke of Pavenham"
"Pavenham, Lord Luke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chairman, Electrolux Ltd., Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,1967,1974,4,False,"Chairman, Electrolux Ltd., Great Britain"
"Ribohn, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy member,Deputy member,,,Deputy members,Deputy Member,,,1991,1997,4,False,Deputy member | Deputy members | Deputy Member
"Rydbeck, Oscar",,,,,,vice Ordförande,vice Ordförande,vice Ordförande,vice Ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1933,4,True,vice Ordförande
"Aurell, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1929,3,True,
"Aurell, Ernst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1930,3,False,
"Bruzelius, Peggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board Member,,,1997,2000,3,False,Board Member
"Danielsson, Bertil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1993,3,True,
"Deijfen, F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1958,3,False,Deputies
"Halvorsen, Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board Member,,,1997,2000,3,False,Board Member
"Hughes, Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board Member,,,1997,2000,3,False,Board Member
"KRANTZ, MARI-ANN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy members,,,,Deputy members,,,,1990,1995,3,False,Deputy members
"MCKEE JR., JOSEPH V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Executive President, National Union Electric Corporation, (NUE), USA","Executive President, National Union Electric Corporation, (NUE), USA","Executive Chairman of the Board, National Union Electric Corporation (NUE), USA",,,,,,,,,,,,,,,,,,,,1977,1979,3,True,"Executive President, National Union Electric Corporation, (NUE), USA | Executive Chairman of the Board, National Union Electric Corporation (NUE), USA"
"Treschow, Michael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President and CEO,President and CEO,President and CEO,1997,2000,3,False,President and CEO
"Wallenberg, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vice Chairman,Vice Chairman,Deputy Chairman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,1969,3,True,Deputy Chairman | Vice Chairman
Wernher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,1953,3,False,
"ABRAHAMSSON, BO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Managing Director, Gränges AB.","Managing Director, Gränges AB.",,,,,,,,,,,,,,,,,,1980,1981,2,True,"Managing Director, Gränges AB."
"Elfving, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1995,2,True,
"Ingeström, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1926,2,True,
"PALMER, EDWARD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1984,2,True,
"Sjöberg, A. Hemming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1926,2,True,
"Vuursteen, Karel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2000,2,True,
"Wallenberg, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Chairman,Deputy Chairman,1999,2000,2,True,Deputy Chairman
"Wernher, Harold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bt., G.C.V.O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1962,2,False,"Bt., G.C.V.O."
Widell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934,1940,2,False,
"AHLSÉN, ÅKE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local Chairman, Swedish Industrial Salaried Employees Association, Åtvidaberg*",,,,,,,,,,,,,,,,,,1981,1981,1,True,"Local Chairman, Swedish Industrial Salaried Employees Association, Åtvidaberg*"
"Aurell, Sten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,1928,1,True,
"Bjerke, Arvid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1927,1,True,
"Björnberg, Malin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1999,1,True,
"Dahlb
ck, Claes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board Member,,,1997,1997,1,True,Board Member
"Dalén, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,1925,1,True,
