Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,2000,2001,First Year,Last Year,Tenure,Consecutive,Positions
"Stahle, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1988,3,False,
"Wallenberg, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,Vice verkställande direktör i Investor,Chairman,Ordförande,1997,2001,3,False,Ordförande | Vice verkställande direktör i Investor | Chairman
"Wiking, Gösta",,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsens vice ordförande,Deputy Chairman,Vice ordförande,1997,2001,3,False,Vice ordförande | Deputy Chairman | Styrelsens vice ordförande
"Berch, Otto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1973,2,True,
"Berg, Bengt",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot (anställd),2000,2001,2,True,Ledamot (anställd) | Director
"Berggren, Bo",,,,,,,,,,,,,,,,,,,,,ledamot,,,Ledamot,,,,,1992,1995,2,False,ledamot | Ledamot
"Bonde, Peder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1973,2,True,
"Caneman, Monica",,,,,,,,,,,,,,,,,,,,,,,,,,Ställföreträdande chef för Retail.,Deputy Director,,1997,2000,2,False,Ställföreträdande chef för Retail. | Deputy Director
"Dahlsten, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1983,2,True,
"Ekberg, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1986,2,True,
"Engellau, G.",vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,2,False,vice ordförande
"Gustavsson, Bengt",,,,riksdagsman,,,,,,,,,,,,,,,,,,,,,,,,,1975,1976,2,True,riksdagsman
"Hughes, Penny",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot,2000,2001,2,True,Ledamot | Director
"Körber, Hans-Joachim",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot,2000,2001,2,True,Ledamot | Director
"Lange, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1973,2,True,
"Rausing, Hans",,,,,,,verkställande direktör,,,,,,,,,,,,,,,,,,,,,,1978,1981,2,False,verkställande direktör
"Ros, Carl Wilhelm",,,,,,,,,,,,,,,,,,,,,,,,,,,Director,Ledamot,2000,2001,2,True,Ledamot | Director
"Rudengren, Sigge",,,,,,,,,,Vice ordförande,,,,,,,,,,,,,,,,,,,1979,1981,2,False,Vice ordförande
"Samuelsson, Bengt",,,,,,,,,,,,,,,,,,,,,,,,Bankkamrer,,,,,1993,1995,2,False,Bankkamrer
"Sandén, Erland",,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Director,Suppleant (anställd),2000,2001,2,True,Suppleant (anställd) | Deputy Director
"Smedberg, Inger",,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Director,Suppleant (anställd),2000,2001,2,True,Suppleant (anställd) | Deputy Director
"Söderberg, Ragnar",vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1973,2,True,Vice ordförande | vice ordförande
"Thunell, Lars H",,,,,,,,,,,,,,,,,,,,,,,,,,,President and Group Chief Executive,Verkställande direktör,2000,2001,2,True,President and Group Chief Executive | Verkställande direktör
"Waldenström, E.",förste vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,2,False,förste vice ordförande
"Wallenberg, M.",ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1974,2,False,ordförande
"Ahlström, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1991,1,True,
"Bertilsson, Bo",,,,,,,,,,,,,,,,,,,,Av regeringen utsedda ledamöter,,,,,,,,,1991,1991,1,True,Av regeringen utsedda ledamöter
"Gustafsson, Lars",,,,,,,,,,,,,,,,,,,,,,,,Vice VD och ställföreträdande koncernchef samt chef division S-E-Banken,,,,,1995,1995,1,True,Vice VD och ställföreträdande koncernchef samt chef division S-E-Banken
Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1974,1,True,
"Johnson, Antonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,1990,1,True,
"Johnson, Antonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1991,1,True,
"Johnson, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1985,1,True,
"Lundquist, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,1997,1997,1,True,Verkställande direktör
"Löwenhielm, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,1989,1,True,
"Nilsson, Henrik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"Nordmark, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,1986,1,True,
"Ottosson, Tommy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1997,1,True,
"Ragnar, SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1983,1,True,
"Ragnar, Sven Erik",,,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,1982,1982,1,True,Verkställande direktör
"Sachs, Ragnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1972,1,True,
"Sahlin, Mauritz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1991,1,True,
"Salén, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1983,1,True,
Thunholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,1974,1,True,
"Thunholm, L.E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1972,1,True,
"Wallgren, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,1990,1,True,
"Wetterlundh, Sune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1972,1,True,
"Åberg, Carl Johan",,,,,,,,,,,,,,,,,,,,,,,,,,Docent,,,1997,1997,1,True,Docent
